material;modelo;color;genero;categoria;descripcion;por_pedir;en_bodega;en_transito
1014456;CLEARWATER CNX;RAVEN/TORTOISE SHELL;MEN;;CLEARWATER CNX M-RAVEN/TORTOISE SHELL;466;0;0
1031168;GRETA BOOT II WP;BLACK;WOMEN;;GRETA BOOT II WP W-BLACK;465;0;0
1031308;KOSA OXFORD;BIRCH/SAFARI;WOMEN;;KOSA OXFORD W-BIRCH/SAFARI;465;0;0
1022814;WHISPER;MEDIUM GREY/PEACOCK GREEN;WOMEN;;WHISPER W-MEDIUM GREY/PEACOCK GREEN;463;3;0
1030248;KS86;ALLOY/TOADSTOOL;WOMEN;;KS86 W-ALLOY/TOADSTOOL;459;0;0
1032045;TARGHEE APEX MID WP;ABBEY STONE/BIRCH;WOMEN;;TARGHEE APEX MID WP W-ABBEY STONE/BIRCH;457;0;0
1029002;TARGHEE IV MID WP WIDE;BISON/BLACK;MEN;;TARGHEE IV MID WP WIDE M-BISON/BLACK;457;0;0
1032232;TARGHEE IV WP;STEEL GREY/LILY PAD;WOMEN;;TARGHEE IV WP W-STEEL GREY/LILY PAD;457;0;0
1032555;JASPER MERKO;BIRCH/PLAZA TAUPE;WOMEN;;JASPER MERKO W-BIRCH/PLAZA TAUPE;456;0;0
1032668;JASPER ZIONIC;DESERT SAGE/LEMON GRASS;WOMEN;;JASPER ZIONIC W-DESERT SAGE/LEMON GRASS;455;0;0
1017346;TARGHEE II MID WP;CANTEEN/DARK OLIVE;MEN;;TARGHEE II MID WP M-CANTEEN/DARK OLIVE;454;0;0
1031148;KOSA CHELSEA;BLACK/BLACK;WOMEN;;KOSA CHELSEA W-BLACK/BLACK;453;0;0
1030688;TARGHEE IV MID WP;SEA TURTLE/ROASTED PECAN;MEN;;TARGHEE IV MID WP M-SEA TURTLE/ROASTED P;453;0;0
1029746;TARGHEE IV WP WIDE;BISON/BLACK;MEN;;TARGHEE IV WP WIDE M-BISON/BLACK;453;0;0
1032946;JASPER;BIRCH/CAMEO ROSE;WOMEN;;JASPER W-BIRCH/CAMEO ROSE;447;0;0
1031174;TARGHEE IV SLIP-ON WIDE;JAVA/BLACK;MEN;;TARGHEE IV SLIP-ON WIDE M-JAVA/BLACK;447;0;0
1031164;TARGHEE IV SLIP-ON;BLACK;MEN;;TARGHEE IV SLIP-ON M-BLACK;446;3;0
1031782;TARGHEE IV MID WP WIDE;TRIPLE BLACK;MEN;;TARGHEE IV MID WP WIDE M-TRIPLE BLACK;445;0;0
1031960;WHISPER LITE;BLACK/MAGNET;WOMEN;;WHISPER LITE W-BLACK/MAGNET;445;0;0
1031702;ELLE BACKSTRAP;LILY PAD/BIRCH;WOMEN;;ELLE BACKSTRAP W-LILY PAD/BIRCH;444;0;0
1030351;HIGHTRAIL WP;BIRCH/DAFFODIL;WOMEN;;HIGHTRAIL WP W-BIRCH/DAFFODIL;441;9;0
1032217;TARGHEE APEX WP;VAPOR/STAR WHITE;WOMEN;;TARGHEE APEX WP W-VAPOR/STAR WHITE;434;3;0
1031839;HIGHTRAIL WP;STEEL GREY/THISTLE;WOMEN;;HIGHTRAIL WP W-STEEL GREY/THISTLE;433;0;0
